//BATCH 12
//TEAM MEMBERS-NIKITA BHALLA-2011A7PS122P
//POOJA GARG-2011A7PS056P
0 mainFunction
1 functionDef
2 ifStmt
3 funCallStmt
4 type
5 remainingList
6 var_list
7 more_ids
8 leftHandSide_singleVar
9 leftHandSide_listVar
10 sizeExpression
11 B
12 C
13 var
14 listVar
15 operator_lowPrecedence
16 operator_highPrecdence
17 logicalOp
18 constrainedVars
19 relationalOp
20 matrixElement
21 matrix
22 row
23 F
24 remainingColElements
25 booleanExpression
26 ioStmt
27 stmtsAndFunctionDefs
28 stmtOrFunctionDef
29 A
30 stmt
31 declarationStmt
32 assignmentStmt_type1
33 assignmentStmt_type2
34 parameter_list
35 rightHandSide_type1
36 rightHandSide_type2
37 arithmeticExpression
38 otherStmts
39 inputParameterList
40 arithmeticTerm
41 D
42 factor
43 E
44 rows
45 G
46 MAIN
47 SQO
48 SQC
49 SEMICOLON
50 FUNCTION
51 ASSIGNOP
52 FUNID
53 END
54 ID
55 INT
56 REAL
57 STRING
58 MATRIX
59 COMMA
60 SIZE
61 IF
62 OP
63 CL
64 ELSE
65 ENDIF
66 PRINT
67 READ
68 PLUS
69 MINUS
70 MUL
71 DIV
72 NUM
73 RNUM
74 STR
75 AND
76 OR
77 LT
78 LE
79 EQ
80 GT
81 GE
82 NE
83 NOT
84 EPSILON
85 COMMENT
86 $
